Datum,Markt,Produktgruppe,Produktuntergruppe,Produkt,Kennzahl,Preis,Wert,Einheit,Währung,Kostenkomponente,Verkaufsregion,Wertschöpfungsstufe,Wertschöpfungsstufe Detail,Aussenhandel,Produktherkunft,Produktionssystem,Produkteigenschaften,Verwendungsart,Datenart,Datenquelle
2024,Eier,Schaleneier,"Konsumeier, roh","Bio, roh, CH",Preis,86.73,86.73,Stück,Rappen,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Bio,roh,NA,Realisierter Wert,"BLW, Fachbereich Marktanalysen, Basis Eigenerhebung Detailhandel Standardprodukte"
2024,Eier,Schaleneier,"Konsumeier, roh","Bio, roh, 4er-Packung, CH",Preis,91.67,91.67,Stück,Rappen,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Bio,roh,NA,Realisierter Wert,"BLW, Fachbereich Marktanalysen, Basis Eigenerhebung Detailhandel Standardprodukte"
2024,Milch und Milchprodukte,Käse,Appenzeller,Appenzeller mild,Preis,17.33,17.33,kg,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Konventionell,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Eier,Schaleneier,"Konsumeier, gekocht","Bio, gekocht, CH",Preis,101.45,101.45,Stück,Rappen,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Bio,gekocht,NA,Realisierter Wert,"BLW, Fachbereich Marktanalysen, Basis Eigenerhebung Detailhandel Standardprodukte"
2024,Milch und Milchprodukte,Käse,Brie CH 45%,Brie CH 45%,Preis,23.62,23.62,kg,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Bio,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Rahm,Vollrahm,Vollrahm UHT 35%,Preis,14.37,14.37,Liter,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Bio,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Käse,Emmentaler,Emmentaler mild,Preis,16.91,16.91,kg,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Konventionell,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Käse,Tilsiter,Tilsiter mild,Preis,15.27,15.27,kg,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Konventionell,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Rohmilch,Rohmilch CH,Segment A,Preis,76.94,76.94,kg,Rappen,inkl. MwSt,Schweiz,Produktion,Ab Hof (Stufe Produktion),NA,Schweiz,Konventionell,NA,Segment A,Realisierter Wert,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Rohmilch,"Rohmilch, International",Spot Milchpreis Italien Lodi,Preis,52.4613,52.4613,kg,Rappen,exkl. MwSt,Italien,Produktion,Ab Hof (Stufe Produktion),NA,Italien,NA,NA,Rohmilch nicht weiter definiert,Richtpreis,CLAL Italien
2024,Milch und Milchprodukte,Butter,Vorzugsbutter,Vorzugsbutter,Preis,22.23,22.23,kg,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Bio,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Rohmilch,"Rohmilch, International","Milch NZ, total",Preis,34.6953,34.6953,kg,Rappen,exkl. MwSt,Neuseeland,Produktion,Ab Hof (Stufe Produktion),NA,Neuseeland,NA,NA,Rohmilch nicht weiter definiert,Realisierter Wert,CLAL Italien
2024,Milch und Milchprodukte,Rohmilch,Rohmilch CH,Molkereimilch (konv.),Preis,70.8113,70.8113,kg,Rappen,inkl. MwSt,Schweiz,Produktion,Ab Hof (Stufe Produktion),NA,Region 1,Konventionell,NA,NA,Realisierter Wert,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Käse,Edamer CH,Edamer CH,Preis,15.54,15.54,kg,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Konventionell,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Konsummilch,Vollmilch,Vollmilch UHT,Preis,1.43,1.43,Liter,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Konventionell,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Rohmilch,Rohmilch CH,Milch für Appenzeller,Preis,78.1084,78.1084,kg,Rappen,inkl. MwSt,Schweiz,Produktion,Ab Hof (Stufe Produktion),NA,Schweiz,Konventionell,NA,Segment A,Realisierter Wert,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Butter,Kochbutter,Kochbutter (Die Butter),Preis,15.44,15.44,kg,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Konventionell,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Käse,Tilsiter,Tilsiter,Preis,21.66,21.66,kg,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Bio,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Rohmilch,"Rohmilch, International","Milch USA, total",Preis,43.8449,43.8449,kg,Rappen,exkl. MwSt,USA,Produktion,Ab Hof (Stufe Produktion),NA,USA,NA,NA,Rohmilch nicht weiter definiert,Realisierter Wert,CLAL Italien
2024,Eier,Schaleneier,"Konsumeier, total","Alle Produktionssysteme, roh, CH, gewichteter Mittelwert",Preis,48.61,48.61,Stück,Rappen,inkl. MwSt,Schweiz,Gastrogrosshandel,Ab Gastrogrosshandel,NA,Schweiz,"Boden, Freiland & Bio",roh,Produkt für direkten menschlichen Verzehr ,Realisierter Wert,Grossopanel AG
2024,Eier,Schaleneier,"Schaleneier, >73g","Bio,  >73g",Preis,36.28,36.28,Stück,Eurocent,exkl. MwSt,Österreich,Produktion,Ab Sammelstelle (Stufe Produktion),NA,Österreich,Bio,NA,NA,Realisierter Wert,AMA Österreich
2024,Eier,Schaleneier,"Konsumeier, gekocht","Boden, gekocht, CH",Preis,50.59,50.59,Stück,Rappen,inkl. MwSt,Schweiz,Gastrogrosshandel,Ab Gastrogrosshandel,NA,Schweiz,Boden,gekocht,Produkt für direkten menschlichen Verzehr ,Realisierter Wert,Grossopanel AG
2024,Eier,Schaleneier,"Schaleneier, AT","Bio, 53-63g, AT",Preis,31.24,31.24,Stück,Eurocent,exkl. MwSt,Österreich,Produktion,Ab Sammelstelle (Stufe Produktion),NA,Österreich,Bio,NA,NA,Realisierter Wert,AMA Österreich
2024,Eier,Schaleneier,"Konsumeier, roh","Freiland, roh, CH",Preis,50.59,50.59,Stück,Rappen,inkl. MwSt,Schweiz,Gastrogrosshandel,Ab Gastrogrosshandel,NA,Schweiz,Freiland,roh,Produkt für direkten menschlichen Verzehr ,Realisierter Wert,Grossopanel AG
2024,Eier,Schaleneier,"Konsumeier, gekocht","Boden, gekocht, Import",Preis,51.05,51.05,Stück,Rappen,inkl. MwSt,Schweiz,Gastrogrosshandel,Ab Gastrogrosshandel,Import,Nicht-Schweiz,Boden,gekocht,Produkt für direkten menschlichen Verzehr ,Realisierter Wert,Grossopanel AG
2024,Eier,Schaleneier,"Konsumeier, roh","Boden, roh, Import",Preis,34.23,34.23,Stück,Rappen,inkl. MwSt,Schweiz,Gastrogrosshandel,Ab Gastrogrosshandel,Import,Nicht-Schweiz,Boden,roh,Produkt für direkten menschlichen Verzehr ,Realisierter Wert,Grossopanel AG
2024,Eier,Schaleneier,"Schaleneier, 2. Klasse","Boden, 2. Klasse",Preis,3.43,3.43,Stück,Rappen,inkl. MwSt,Schweiz,Produktion,Ab Hof (Stufe Produktion),NA,Schweiz,Boden,roh,NA,"Realisierter Preis, gewichteter Mittelwert","BLW, Fachbereich Marktanalysen"
2024,Eier,Schaleneier,"Konsumeier, total","Alle Produktionssysteme, gekocht, CH, gewichteter Mittelwert",Preis,67.9,67.9,Stück,Rappen,inkl. MwSt,Schweiz,Gastrogrosshandel,Ab Gastrogrosshandel,NA,Schweiz,"Boden, Freiland & Bio",gekocht,Produkt für direkten menschlichen Verzehr ,Realisierter Wert,Grossopanel AG
2024,Eier,Schaleneier,"Schaleneier, <50g","Boden, <50g",Preis,4.33,4.33,Stück,Rappen,inkl. MwSt,Schweiz,Produktion,Ab Hof (Stufe Produktion),NA,Schweiz,Boden,roh,NA,"Realisierter Preis, gewichteter Mittelwert","BLW, Fachbereich Marktanalysen"
2024,Eier,Schaleneier,"Konsumeier, gekocht","Freiland, gekocht, CH",Preis,66.92,66.92,Stück,Rappen,inkl. MwSt,Schweiz,Gastrogrosshandel,Ab Gastrogrosshandel,NA,Schweiz,Freiland,gekocht,Produkt für direkten menschlichen Verzehr ,Realisierter Wert,Grossopanel AG
2024,Eier,Schaleneier,"Konsumeier, AT","Boden, 53-63g, 6er- und 10er-Packung, AT",Preis,28.05,28.05,Stück,Eurocent,exkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Österreich,Boden,NA,NA,Realisierter Wert,GfK Austria
2024,Eier,Schaleneier,"Konsumeier, roh","Boden, roh, CH",Preis,39.23,39.23,Stück,Rappen,inkl. MwSt,Schweiz,Gastrogrosshandel,Ab Gastrogrosshandel,NA,Schweiz,Boden,roh,Produkt für direkten menschlichen Verzehr ,Realisierter Wert,Grossopanel AG
2024,Eier,Schaleneier,"Schaleneier, AT","Bio, 63-73g, AT",Preis,32.79,32.79,Stück,Eurocent,exkl. MwSt,Österreich,Produktion,Ab Sammelstelle (Stufe Produktion),NA,Österreich,Bio,NA,NA,Realisierter Wert,AMA Österreich
2024,Eier,Schaleneier,"Konsumeier, roh","Boden, roh, Import",Preis,29.19,29.19,Stück,Rappen,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,Import,Nicht-Schweiz,Boden,roh,NA,Realisierter Wert,"BLW, Fachbereich Marktanalysen, Basis Eigenerhebung Detailhandel Standardprodukte"
2024,Eier,Schaleneier,"Konsumeier, gekocht","Freiland, gekocht, CH",Preis,67.33,67.33,Stück,Rappen,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Freiland,gekocht,NA,Realisierter Wert,"BLW, Fachbereich Marktanalysen, Basis Eigenerhebung Detailhandel Standardprodukte"
2024,Eier,Schaleneier,"Schaleneier, >53g","Freiland, >53g",Preis,26.03,26.03,Stück,Rappen,inkl. MwSt,Schweiz,Produktion,Ab Hof (Stufe Produktion),NA,Schweiz,Freiland,roh,NA,"Realisierter Preis, gewichteter Mittelwert","BLW, Fachbereich Marktanalysen"
2024,Eier,Schaleneier,"Konsumeier, roh","Alle Produktionssysteme, roh, CH, gewichteter Mittelwert",Preis,66.69,66.69,Stück,Rappen,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,"Boden, Freiland & Bio",roh,NA,Realisierter Wert,"BLW, Fachbereich Marktanalysen, Basis Eigenerhebung Detailhandel Standardprodukte"
2024,Eier,Schaleneier,"Konsumeier, gekocht","Alle Produktionssysteme, gekocht, CH und Import, gewichteter Mittelwert",Preis,68.26,68.26,Stück,Rappen,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz & nicht-Schweiz,"Boden, Freiland & Bio",gekocht,NA,Realisierter Wert,"BLW, Fachbereich Marktanalysen, Basis Eigenerhebung Detailhandel Standardprodukte"
2024,Eier,Schaleneier,"Schaleneier, total, CH","Bio, gewichteter Mittelwert",Preis,45.62,45.62,Stück,Rappen,inkl. MwSt,Schweiz,Produktion,Ab Hof (Stufe Produktion),NA,Schweiz,Bio,roh,NA,"Realisierter Preis, gewichteter Mittelwert","BLW, Fachbereich Marktanalysen"
2024,Eier,Schaleneier,Verbilligungsaktion,"Verbilligungsaktion, eingesetzte Mittel",Preis,4.52,4.52,Stück,Rappen,exkl. MwSt,Schweiz,Produktion,"Produktion, nicht weiter definiert",NA,Schweiz,"Boden, Freiland & Bio",roh,NA,"Verbilligungsaktion, Ist","BLW, Fachbereich Marktanalysen"
2024,Eier,Schaleneier,"Schaleneier, >73g","Freiland, >73g",Preis,26.28,26.28,Stück,Eurocent,exkl. MwSt,Österreich,Produktion,Ab Sammelstelle (Stufe Produktion),NA,Österreich,Freiland,NA,NA,Realisierter Wert,AMA Österreich
2024,Eier,Schaleneier,Gesamtbeitrag,Durchschnittlich gezahlter Beitrag,Preis,5.42,5.42,Stück,Rappen,exkl. MwSt,Schweiz,Produktion,"Produktion, nicht weiter definiert",NA,Schweiz,"Boden, Freiland & Bio",roh,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Eier,Schaleneier,"Konsumeier, roh","Alle Produktionssysteme, roh, 4er-Packung, CH, gewichteter Mittelwert",Preis,80.38,80.38,Stück,Rappen,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,"Boden, Freiland & Bio",roh,NA,Realisierter Wert,"BLW, Fachbereich Marktanalysen, Basis Eigenerhebung Detailhandel Standardprodukte"
2024,Eier,Schaleneier,"Konsumeier, gekocht","Alle Produktionssysteme, gekocht, CH, gewichteter Mittelwert",Preis,71.29,71.29,Stück,Rappen,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,"Boden, Freiland & Bio",gekocht,NA,Realisierter Wert,"BLW, Fachbereich Marktanalysen, Basis Eigenerhebung Detailhandel Standardprodukte"
2024,Eier,Schaleneier,"Konsumeier, roh","Freiland, roh, 4er-Packung, CH",Preis,73.43,73.43,Stück,Rappen,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Freiland,roh,NA,Realisierter Wert,"BLW, Fachbereich Marktanalysen, Basis Eigenerhebung Detailhandel Standardprodukte"
2024,Eier,Schaleneier,"Schaleneier, total, CH","Freiland, gewichteter Mittelwert",Preis,24.12,24.12,Stück,Rappen,inkl. MwSt,Schweiz,Produktion,Ab Hof (Stufe Produktion),NA,Schweiz,Freiland,roh,NA,"Realisierter Preis, gewichteter Mittelwert","BLW, Fachbereich Marktanalysen"
2024,Eier,Schaleneier,"Konsumeier, roh","Freiland, roh, 6er-Packung, CH",Preis,67.23,67.23,Stück,Rappen,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Freiland,roh,NA,Realisierter Wert,"BLW, Fachbereich Marktanalysen, Basis Eigenerhebung Detailhandel Standardprodukte"
2024,Eier,Schaleneier,"Konsumeier, roh","Alle Produktionssysteme, roh, 6er-Packung, CH, gewichteter Mittelwert",Preis,74.65,74.65,Stück,Rappen,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,"Boden, Freiland & Bio",roh,NA,Realisierter Wert,"BLW, Fachbereich Marktanalysen, Basis Eigenerhebung Detailhandel Standardprodukte"
2024,Milch und Milchprodukte,Rohmilch,Rohmilch CH,"Biomilch, total",Preis,93.6817,93.6817,kg,Rappen,inkl. MwSt,Schweiz,Produktion,Ab Hof (Stufe Produktion),NA,Region 2,Bio,NA,NA,Realisierter Wert,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Konsummilch,Vollmilch,Vollmilch Past,Preis,1.93,1.93,Liter,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Bio,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Eier,Schaleneier,"Schaleneier, 50-53g","Freiland, 50-53g",Preis,10.86,10.86,Stück,Rappen,inkl. MwSt,Schweiz,Produktion,Ab Hof (Stufe Produktion),NA,Schweiz,Freiland,roh,NA,"Realisierter Preis, gewichteter Mittelwert","BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Rohmilch,Rohmilch CH,Verkäste Milch (konv.),Preis,87.4777,87.4777,kg,Rappen,inkl. MwSt,Schweiz,Produktion,Ab Hof (Stufe Produktion),NA,Region 1,Konventionell,NA,NA,Realisierter Wert,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Konsummilch,Vollmilch,Vollmilch UHT,Preis,1.86,1.86,Liter,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Bio,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Käse,Raclettekäse,Raclettekäse,Preis,20.72,20.72,kg,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Konventionell,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Käse,Tilsiter,Tilsiter surchoix,Preis,20.58,20.58,kg,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Konventionell,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Käse,Brie CH 45%,Brie CH 45%,Preis,20.33,20.33,kg,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Konventionell,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Rohmilch,Rohmilch CH,"Biomilch, total",Preis,91.75,91.75,kg,Rappen,inkl. MwSt,Schweiz,Produktion,Ab Hof (Stufe Produktion),NA,Region 1,Bio,NA,NA,Realisierter Wert,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Rohmilch,Rohmilch CH,"Biomilch, total",Preis,90.9526,90.9526,kg,Rappen,inkl. MwSt,Schweiz,Produktion,Ab Hof (Stufe Produktion),NA,Region 4,Bio,NA,NA,Realisierter Wert,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Rohmilch,Rohmilch CH,Milch für Gruyère,Preis,90.4755,90.4755,kg,Rappen,inkl. MwSt,Schweiz,Produktion,Ab Hof (Stufe Produktion),NA,Schweiz,Konventionell,NA,Segment A,Realisierter Wert,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Rahm,Halbrahm,Halbrahm UHT 25%,Preis,5.26,5.26,Liter,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Konventionell,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Eier,Schaleneier,"Schaleneier, 50-53g","Boden, 50-53g",Preis,10.57,10.57,Stück,Rappen,inkl. MwSt,Schweiz,Produktion,Ab Hof (Stufe Produktion),NA,Schweiz,Boden,roh,NA,"Realisierter Preis, gewichteter Mittelwert","BLW, Fachbereich Marktanalysen"
2024,Futtermittel,Getreide,Schwein - Mischfutter,"Muttersauen Säugend, bio",Preis,104.95,104.95,100 kg,CHF,NA,Schweiz,Grosshandel/Verarbeitung,Ab Verarbeitung/Industrie,NA,NA,Bio,NA,Mischfutter,Realisierter Wert,"BLW, Fachbereich Marktanalysen"
2024,Futtermittel,Getreide,Schwein - Mischfutter,"Schweinemast Vormast, bio",Preis,100.29,100.29,100 kg,CHF,NA,Schweiz,Grosshandel/Verarbeitung,Ab Verarbeitung/Industrie,NA,NA,Bio,NA,Mischfutter,Realisierter Wert,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Käse,Tomme,Tomme,Preis,20.23,20.23,kg,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Konventionell,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Futtermittel,Getreide,Schwein - Mischfutter,"Schweinemast Endmast, bio",Preis,94.47,94.47,100 kg,CHF,NA,Schweiz,Grosshandel/Verarbeitung,Ab Verarbeitung/Industrie,NA,NA,Bio,NA,Mischfutter,Realisierter Wert,"BLW, Fachbereich Marktanalysen"
2024,Futtermittel,Getreide,Schwein - Mischfutter,"Schweinemast Endmast,  konv.",Preis,57.16,57.16,100 kg,CHF,NA,Schweiz,Grosshandel/Verarbeitung,Ab Verarbeitung/Industrie,NA,NA,Nicht-Bio,NA,Mischfutter,Realisierter Wert,"BLW, Fachbereich Marktanalysen"
2024,Futtermittel,Getreide,Schwein - Mischfutter,"Schweinemast Vormast,  konv.",Preis,59.9,59.9,100 kg,CHF,NA,Schweiz,Grosshandel/Verarbeitung,Ab Verarbeitung/Industrie,NA,NA,Nicht-Bio,NA,Mischfutter,Realisierter Wert,"BLW, Fachbereich Marktanalysen"
2024,Futtermittel,Getreide,Schwein - Mischfutter,"Ferkelaufzucht,  konv.",Preis,75.89,75.89,100 kg,CHF,NA,Schweiz,Grosshandel/Verarbeitung,Ab Verarbeitung/Industrie,NA,NA,Nicht-Bio,NA,Mischfutter,Realisierter Wert,"BLW, Fachbereich Marktanalysen"
2024,Futtermittel,Getreide,Schwein - Mischfutter,"Muttersauen tragend, bio",Preis,92.11,92.11,100 kg,CHF,NA,Schweiz,Grosshandel/Verarbeitung,Ab Verarbeitung/Industrie,NA,NA,Bio,NA,Mischfutter,Realisierter Wert,"BLW, Fachbereich Marktanalysen"
2024,Eier,Schaleneier,"Schaleneier, Import","Verarbeitungseier, Import",Preis,15.87,15.87,Stück,Rappen,inkl. MwSt,Schweiz,Import,Import,Import,Nicht-Schweiz,NA,roh,"Zwischenprodukt zur Weiterverarbeitung (menschlicher Verzehr), nicht weiter definiert",Realisierter Wert,"BLW, eKontingente"
2024,Milch und Milchprodukte,Käse,Vacherin fribourgeois,Vacherin fribourgeois,Preis,20.58,20.58,kg,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Konventionell,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Rohmilch,"Rohmilch, International",ife Rohstoffwert Milch,Preis,45.1039,45.1039,kg,Rappen,exkl. MwSt,NA,Produktion,Ab Hof (Stufe Produktion),NA,Nicht-Schweiz,NA,NA,NA,Richtpreis,IFE
2024,Milch und Milchprodukte,Käse,Mozzarella,Mozzarella,Preis,15.11,15.11,kg,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Bio,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Käse,Tête de Moine,Tête de Moine,Preis,21.34,21.34,kg,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Konventionell,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Eier,Schaleneier,"Schaleneier, 2. Klasse","Freiland, 2. Klasse",Preis,5.23,5.23,Stück,Rappen,inkl. MwSt,Schweiz,Produktion,Ab Hof (Stufe Produktion),NA,Schweiz,Freiland,roh,NA,"Realisierter Preis, gewichteter Mittelwert","BLW, Fachbereich Marktanalysen"
2024,Futtermittel,Getreide,Rind - Mischfutter,"Rindviehmast,  konv.",Preis,74.46,74.46,100 kg,CHF,NA,Schweiz,Grosshandel/Verarbeitung,Ab Verarbeitung/Industrie,NA,NA,Nicht-Bio,NA,Mischfutter,Realisierter Wert,"BLW, Fachbereich Marktanalysen"
2024,Futtermittel,Getreide,Schwein - Mischfutter,"Muttersauen Säugend,  konv.",Preis,64.98,64.98,100 kg,CHF,NA,Schweiz,Grosshandel/Verarbeitung,Ab Verarbeitung/Industrie,NA,NA,Nicht-Bio,NA,Mischfutter,Realisierter Wert,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Rahm,Vollrahm,Vollrahm UHT 35%,Preis,6.88,6.88,Liter,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Konventionell,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Käse,Appenzeller,Appenzeller surchoix,Preis,18.91,18.91,kg,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Konventionell,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
2024,Milch und Milchprodukte,Konsummilch,Milch Drink,Milch Drink UHT,Preis,1.53,1.53,Liter,CHF,inkl. MwSt,Schweiz,Konsum,Ab Detailhandel,NA,Schweiz,Konventionell,NA,NA,NA,"BLW, Fachbereich Marktanalysen"
